42,42,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,249.10731341622287
44,44,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,172.12224400258992
46,46,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,0.004973048213153387
48,48,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.34771333022877
50,50,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.4201734701037
52,52,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,349.1195179760157
54,54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,1416.3544815592636
56,56,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,1686.3083422937702
58,58,UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999,671.0818913209914
60,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999,1038.0071382679757
62,62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1658.9688159600412
64,64,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999,1234.3868671294847
66,66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999,1214.0181270507974
68,68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999,1237.2848318783088
70,70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1586.478888429979
72,72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999,1290.542098694214
74,74,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999,878.935672260378
76,76,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,1234.3868671294847
78,78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.65096376258657
80,80,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,1178.2783731690538
82,82,Luhman 16B,6.516,0.041047284,0.10481826,1024.524705078712
84,84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1586.478888429979
85,85,TWA 28,180.0,0.034365168,0.24560357,156.22877308553126
87,87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.09533928555263
89,89,TWA 26,137.0,0.02863764,0.2260786,153.64916920486624
91,91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,1586.478888429979
93,93,2MASSI J1217110-031113 [de],36.0,0.040092696,0.0965972199999999,1178.2783731690538
95,95,TWA 29,262.0,0.001909176,2.569075,0.07932394442149891
97,97,Kelu-1A,61.0,0.060139044,0.1007077399999999,1626.0830443547102
99,99,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,1628.1198768014258
101,101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.0965972199999999,1234.3868671294847
103,103,ULAS J141623.94+134836.3,29.7,0.030546816,0.0986524799999999,860.7198830457801
105,105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.7622734539067
107,107,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1682.3345739313095
109,109,2MASS J14482563+1031590 [de],47.0,0.056320692,0.1017353699999999,1492.2306144999386
111,111,CFBDSIR 1458+10B,104.0,0.008591292,0.1335918999999999,132.01100218074916
113,113,2MASS 1503+2525,20.7,0.042001872,0.0965972199999999,1234.3868671294847
115,115,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,1644.0047593123518
117,117,TVLM 868-110639,53.0,0.075412452,0.11098404,1678.935080509049
119,119,2MASSI J1526140+204341 [de],67.0,0.051547752,0.1007077399999999,1393.7854665897514
121,121,2MASS J15462718-3325111 [de],37.0,0.042001872,0.0965972199999999,1234.3868671294847
123,123,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,1658.9688159600412
125,125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.0965972199999999,1206.3326201492691
127,127,2MASSW J1632291+190441 [de],50.0,0.046774812,0.0996801099999999,1290.9426070296574
129,129,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.0561040268533
130,130,2MASSI J1726000+153819,114.0,0.022910112,0.1438681999999999,303.5355016128791
132,132,2MASS J18283572-4849046,39.0,0.04295646,0.0976248499999999,1236.0032891161568
134,134,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,1628.1198768014258
136,136,2MASS J20004841-7523070,105.0,0.0238647,0.1931944399999999,175.33904362634703
138,138,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1667.830915244415
140,140,PSO J318.5−22,80.0,0.006204822,0.15722739,68.8311171370711
142,142,2MASS J21392676+0220226,32.1,0.043911048,0.0986524799999999,1237.2848318783088
144,144,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3001401423514
145,145,2MASSW J2208136+292121,154.0,0.025773876,0.1448958299999999,336.65096376258657
147,147,2MASS J22282889-4310262,35.0,0.040092696,0.0965972199999999,1178.2783731690538
149,149,2MASSW J2244316+204343,56.0,0.011455056,0.1325642699999999,178.75415634915055
150,150,2MASS J23224684-3133231,56.0,0.022910112,0.1428405699999999,307.91862903640754
151,151,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.68978867102297
153,153,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.1344251641056
155,155,WISE 0458+6434A,35.9,0.01431882,0.4316046,21.07885427867213
